date,Unnamed: 0,id,text,coordinates,geo,place,date,retweet_count,retweeted,prediction,log_pos_proba,pos_proba
2020-04-23 00:00:41,620,1253111513369530376,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus!… https://t.co/sQoTpthOiN,"{'type': 'Point', 'coordinates': [-73.96811, 40.798502]}","{'type': 'Point', 'coordinates': [40.798502, -73.96811]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='Vereinigte Staaten', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})",2020-04-23 00:00:41,0,False,4,-0.09880133029912493,0.9059226695322791
2020-04-23 00:01:22,621,1253111688733302793,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!… https://t.co/0pvEJwea6k,"{'type': 'Point', 'coordinates': [-73.95499, 40.812665]}","{'type': 'Point', 'coordinates': [40.812665, -73.95499]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='Vereinigte Staaten', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})",2020-04-23 00:01:22,0,False,4,-0.3578063807186955,0.6992084421373082
2020-04-23 00:03:17,622,1253112170784739329,"In the ongoing battle against COVID19, I’ve taken several actions:

• Daily Rollerblading
• Lots of writing
• Podca… https://t.co/cZx3dDUeI7","{'type': 'Point', 'coordinates': [-118.4574, 33.9833]}","{'type': 'Point', 'coordinates': [33.9833, -118.4574]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='38ea9782c8d83a4b', url='https://api.twitter.com/1.1/geo/id/38ea9782c8d83a4b.json', place_type='city', name='Marina del Rey', full_name='Marina del Rey, CA', country_code='US', country='Vereinigte Staaten', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[-118.463481, 33.964019], [-118.4321992, 33.964019], [-118.4321992, 33.98647], [-118.463481, 33.98647]]]), attributes={})",2020-04-23 00:03:17,0,False,0,-0.8258712916288193,0.4378533282791089
2020-04-23 00:03:36,623,1253112246915534850,"“When Quarantine got you Bored AF &amp; you watched Top Boy sooo many times, you Legit think you a Thug now”. God Help… https://t.co/aEb8B7DAOy","{'type': 'Point', 'coordinates': [-73.95, 40.65]}","{'type': 'Point', 'coordinates': [40.65, -73.95]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='011add077f4d2da3', url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', place_type='city', name='Brooklyn', full_name='Brooklyn, NY', country_code='US', country='Vereinigte Staaten', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]), attributes={})",2020-04-23 00:03:36,0,False,4,-0.44767895793541296,0.6391098322395922
2020-04-23 00:03:38,624,1253112256499499010,Corona CA Wed Apr 22nd PM Forecast: TONIGHT Mostly Clear Lo 59 THURSDAY Mostly Sunny Hi 89,"{'type': 'Point', 'coordinates': [-117.5655, 33.8752]}","{'type': 'Point', 'coordinates': [33.8752, -117.5655]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='5e4b6834e36e68fa', url='https://api.twitter.com/1.1/geo/id/5e4b6834e36e68fa.json', place_type='city', name='Corona', full_name='Corona, CA', country_code='US', country='Vereinigte Staaten', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[-117.672915, 33.802102], [-117.498401, 33.802102], [-117.498401, 33.916084], [-117.672915, 33.916084]]]), attributes={})",2020-04-23 00:03:38,0,False,4,-0.08723404315625588,0.9164625787365078
2020-04-23 00:05:24,625,1253112700676247559,"What Macdonals looks like with the Covid-19 #guam #earthday #pacific #usa #turist #travel en East Hagatña, Guahan https://t.co/J2BHlSLTeB","{'type': 'Point', 'coordinates': [144.76014621, 13.47746329]}","{'type': 'Point', 'coordinates': [13.47746329, 144.76014621]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='017bfcfe2b5c6d20', url='https://api.twitter.com/1.1/geo/id/017bfcfe2b5c6d20.json', place_type='city', name='Maite', full_name='Maite, USA', country_code='US', country='Vereinigte Staaten', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[144.758775, 13.47517], [144.768906, 13.47517], [144.768906, 13.479491], [144.758775, 13.479491]]]), attributes={})",2020-04-23 00:05:24,0,False,4,-0.3350260868405242,0.7153194256853803
2020-04-23 00:06:30,626,1253112980369268738,"Frag out!                                                             -
-
(All activities/photos are pre-COVID19; t… https://t.co/xA7w1Bwu4S","{'type': 'Point', 'coordinates': [-81.5331459, 41.48773282]}","{'type': 'Point', 'coordinates': [41.48773282, -81.5331459]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='b47f2a32b49af59a', url='https://api.twitter.com/1.1/geo/id/b47f2a32b49af59a.json', place_type='city', name='University Heights', full_name='University Heights, OH', country_code='US', country='Vereinigte Staaten', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[-81.5561201, 41.486912], [-81.516595, 41.486912], [-81.516595, 41.5033512], [-81.5561201, 41.5033512]]]), attributes={})",2020-04-23 00:06:30,0,False,4,-0.5608560175412416,0.57072030809204
2020-04-23 00:06:32,627,1253112985129644032,"Stigmabase —  Coronavirus: with infection rate slowing to a crawl, is it time for Hongkongers to relax a bit? Here'… https://t.co/D2sSQ7LrRl","{'type': 'Point', 'coordinates': [100.65507813, 13.86200131]}","{'type': 'Point', 'coordinates': [13.86200131, 100.65507813]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='00adfc303ce5a941', url='https://api.twitter.com/1.1/geo/id/00adfc303ce5a941.json', place_type='city', name='ท่าแร้ง', full_name='ท่าแร้ง, ประเทศไทย', country_code='TH', country='Thailand', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[100.6189401, 13.8425093], [100.6857012, 13.8425093], [100.6857012, 13.886681], [100.6189401, 13.886681]]]), attributes={})",2020-04-23 00:06:32,1,False,4,-0.5788583912607981,0.5605379164221319
2020-04-23 00:07:03,628,1253113118391033856,"Take a few minutes to #breathe #mandala #adultcoloring #coloring #coronavirus @ Chattanooga, Tennessee https://t.co/dqjKsQOrrD","{'type': 'Point', 'coordinates': [-85.2673, 35.0455]}","{'type': 'Point', 'coordinates': [35.0455, -85.2673]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='3b3916ee31cfc9e6', url='https://api.twitter.com/1.1/geo/id/3b3916ee31cfc9e6.json', place_type='city', name='Chattanooga', full_name='Chattanooga, TN', country_code='US', country='Vereinigte Staaten', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[-85.404424, 34.983674], [-85.080704, 34.983674], [-85.080704, 35.2002354], [-85.404424, 35.2002354]]]), attributes={})",2020-04-23 00:07:03,0,False,4,-0.2358361897355287,0.7899100587108621
2020-04-23 00:07:43,629,1253113283323867136,"Excited to share the Instagram live “stage” with these beauties❗️🔥
WATCH VIA @loch_lomond_ski DONATE TO @unisonfund… https://t.co/jSPc6JleE8","{'type': 'Point', 'coordinates': [-58.73167261, -34.51556935]}","{'type': 'Point', 'coordinates': [-34.51556935, -58.73167261]}","Place(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, id='00eacabc1e5298db', url='https://api.twitter.com/1.1/geo/id/00eacabc1e5298db.json', place_type='city', name='José Carlos Paz', full_name='José Carlos Paz, Argentina', country_code='AR', country='Argentinien', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000018E74B4CEF0>, type='Polygon', coordinates=[[[-58.822655, -34.551371], [-58.72095, -34.551371], [-58.72095, -34.451817], [-58.822655, -34.451817]]]), attributes={})",2020-04-23 00:07:43,3,False,4,-0.201565151406744,0.8174503177869958
